"GEOID","NAME","variable","estimate","moe"
"2500135","Abington CDP, Massachusetts","inc_12_pov",462,161
"2500135","Abington CDP, Massachusetts","inc_12_pov_m",179,90
"2500135","Abington CDP, Massachusetts","inc_12_pov_f",283,117
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov",244,105
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_m",60,36
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_f",184,92
"2500590","Adams CDP, Massachusetts","inc_12_pov",585,229
"2500590","Adams CDP, Massachusetts","inc_12_pov_m",209,132
"2500590","Adams CDP, Massachusetts","inc_12_pov_f",376,124
"2500840","Agawam Town city, Massachusetts","inc_12_pov",2375,562
"2500840","Agawam Town city, Massachusetts","inc_12_pov_m",947,240
"2500840","Agawam Town city, Massachusetts","inc_12_pov_f",1428,389
"2501260","Amesbury Town city, Massachusetts","inc_12_pov",861,235
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_m",499,167
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_f",362,118
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov",2731,528
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_m",1121,489
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_f",1610,522
"2501430","Andover CDP, Massachusetts","inc_12_pov",831,224
"2501430","Andover CDP, Massachusetts","inc_12_pov_m",419,153
"2501430","Andover CDP, Massachusetts","inc_12_pov_f",412,169
"2501640","Arlington CDP, Massachusetts","inc_12_pov",2189,398
"2501640","Arlington CDP, Massachusetts","inc_12_pov_m",1023,242
"2501640","Arlington CDP, Massachusetts","inc_12_pov_f",1166,234
"2502515","Athol CDP, Massachusetts","inc_12_pov",1840,611
"2502515","Athol CDP, Massachusetts","inc_12_pov_m",815,336
"2502515","Athol CDP, Massachusetts","inc_12_pov_f",1025,321
"2502690","Attleboro city, Massachusetts","inc_12_pov",4367,901
"2502690","Attleboro city, Massachusetts","inc_12_pov_m",1826,485
"2502690","Attleboro city, Massachusetts","inc_12_pov_f",2541,535
"2503040","Ayer CDP, Massachusetts","inc_12_pov",320,217
"2503040","Ayer CDP, Massachusetts","inc_12_pov_m",176,158
"2503040","Ayer CDP, Massachusetts","inc_12_pov_f",144,90
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov",72,83
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_m",39,49
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_f",33,41
"2503690","Barnstable Town city, Massachusetts","inc_12_pov",5166,861
"2503690","Barnstable Town city, Massachusetts","inc_12_pov_m",2541,474
"2503690","Barnstable Town city, Massachusetts","inc_12_pov_f",2625,506
"2503705","Barre CDP, Massachusetts","inc_12_pov",70,68
"2503705","Barre CDP, Massachusetts","inc_12_pov_m",15,23
"2503705","Barre CDP, Massachusetts","inc_12_pov_f",55,64
"2504790","Belchertown CDP, Massachusetts","inc_12_pov",671,406
"2504790","Belchertown CDP, Massachusetts","inc_12_pov_m",344,264
"2504790","Belchertown CDP, Massachusetts","inc_12_pov_f",327,171
"2504965","Bellingham CDP, Massachusetts","inc_12_pov",35,40
"2504965","Bellingham CDP, Massachusetts","inc_12_pov_m",0,17
"2504965","Bellingham CDP, Massachusetts","inc_12_pov_f",35,40
"2505105","Belmont CDP, Massachusetts","inc_12_pov",1131,289
"2505105","Belmont CDP, Massachusetts","inc_12_pov_m",414,120
"2505105","Belmont CDP, Massachusetts","inc_12_pov_f",717,219
"2505595","Beverly city, Massachusetts","inc_12_pov",3021,675
"2505595","Beverly city, Massachusetts","inc_12_pov_m",1244,357
"2505595","Beverly city, Massachusetts","inc_12_pov_f",1777,407
"2506050","Blandford CDP, Massachusetts","inc_12_pov",31,30
"2506050","Blandford CDP, Massachusetts","inc_12_pov_m",12,15
"2506050","Blandford CDP, Massachusetts","inc_12_pov_f",19,16
"2506170","Bliss Corner CDP, Massachusetts","inc_12_pov",468,190
"2506170","Bliss Corner CDP, Massachusetts","inc_12_pov_m",198,100
"2506170","Bliss Corner CDP, Massachusetts","inc_12_pov_f",270,131
"2507000","Boston city, Massachusetts","inc_12_pov",130775,4167
"2507000","Boston city, Massachusetts","inc_12_pov_m",56204,2290
"2507000","Boston city, Massachusetts","inc_12_pov_f",74571,2516
"2507140","Bourne CDP, Massachusetts","inc_12_pov",95,94
"2507140","Bourne CDP, Massachusetts","inc_12_pov_m",15,24
"2507140","Bourne CDP, Massachusetts","inc_12_pov_f",80,75
"2507385","Boxford CDP, Massachusetts","inc_12_pov",199,286
"2507385","Boxford CDP, Massachusetts","inc_12_pov_m",63,95
"2507385","Boxford CDP, Massachusetts","inc_12_pov_f",136,192
"2507740","Braintree Town city, Massachusetts","inc_12_pov",2130,393
"2507740","Braintree Town city, Massachusetts","inc_12_pov_m",906,227
"2507740","Braintree Town city, Massachusetts","inc_12_pov_f",1224,257
"2507945","Brewster CDP, Massachusetts","inc_12_pov",166,109
"2507945","Brewster CDP, Massachusetts","inc_12_pov_m",66,73
"2507945","Brewster CDP, Massachusetts","inc_12_pov_f",100,68
"2508050","Bridgewater CDP, Massachusetts","inc_12_pov",1335,669
"2508050","Bridgewater CDP, Massachusetts","inc_12_pov_m",658,344
"2508050","Bridgewater CDP, Massachusetts","inc_12_pov_f",677,475
"2509000","Brockton city, Massachusetts","inc_12_pov",17253,1479
"2509000","Brockton city, Massachusetts","inc_12_pov_m",7871,803
"2509000","Brockton city, Massachusetts","inc_12_pov_f",9382,864
"2509070","Brookfield CDP, Massachusetts","inc_12_pov",23,27
"2509070","Brookfield CDP, Massachusetts","inc_12_pov_m",6,10
"2509070","Brookfield CDP, Massachusetts","inc_12_pov_f",17,19
"2509210","Brookline CDP, Massachusetts","inc_12_pov",6996,913
"2509210","Brookline CDP, Massachusetts","inc_12_pov_m",2519,487
"2509210","Brookline CDP, Massachusetts","inc_12_pov_f",4477,682
"2509875","Burlington CDP, Massachusetts","inc_12_pov",1335,417
"2509875","Burlington CDP, Massachusetts","inc_12_pov_m",493,242
"2509875","Burlington CDP, Massachusetts","inc_12_pov_f",842,255
"2510015","Buzzards Bay CDP, Massachusetts","inc_12_pov",155,91
"2510015","Buzzards Bay CDP, Massachusetts","inc_12_pov_m",51,37
"2510015","Buzzards Bay CDP, Massachusetts","inc_12_pov_f",104,62
"2511000","Cambridge city, Massachusetts","inc_12_pov",12781,1213
"2511000","Cambridge city, Massachusetts","inc_12_pov_m",5772,717
"2511000","Cambridge city, Massachusetts","inc_12_pov_f",7009,761
"2512960","Chatham CDP, Massachusetts","inc_12_pov",256,141
"2512960","Chatham CDP, Massachusetts","inc_12_pov_m",167,115
"2512960","Chatham CDP, Massachusetts","inc_12_pov_f",89,55
"2513205","Chelsea city, Massachusetts","inc_12_pov",7748,1258
"2513205","Chelsea city, Massachusetts","inc_12_pov_m",3134,649
"2513205","Chelsea city, Massachusetts","inc_12_pov_f",4614,771
"2513310","Cheshire CDP, Massachusetts","inc_12_pov",19,20
"2513310","Cheshire CDP, Massachusetts","inc_12_pov_m",0,12
"2513310","Cheshire CDP, Massachusetts","inc_12_pov_f",19,20
"2513450","Chester CDP, Massachusetts","inc_12_pov",84,57
"2513450","Chester CDP, Massachusetts","inc_12_pov_m",54,32
"2513450","Chester CDP, Massachusetts","inc_12_pov_f",30,29
"2513660","Chicopee city, Massachusetts","inc_12_pov",7369,878
"2513660","Chicopee city, Massachusetts","inc_12_pov_m",3216,481
"2513660","Chicopee city, Massachusetts","inc_12_pov_f",4153,623
"2514430","Clinton CDP, Massachusetts","inc_12_pov",1009,409
"2514430","Clinton CDP, Massachusetts","inc_12_pov_m",293,131
"2514430","Clinton CDP, Massachusetts","inc_12_pov_f",716,353
"2514570","Cochituate CDP, Massachusetts","inc_12_pov",448,202
"2514570","Cochituate CDP, Massachusetts","inc_12_pov_m",151,95
"2514570","Cochituate CDP, Massachusetts","inc_12_pov_f",297,123
"2515340","Cordaville CDP, Massachusetts","inc_12_pov",13,14
"2515340","Cordaville CDP, Massachusetts","inc_12_pov_m",13,14
"2515340","Cordaville CDP, Massachusetts","inc_12_pov_f",0,12
"2516285","Danvers CDP, Massachusetts","inc_12_pov",1268,413
"2516285","Danvers CDP, Massachusetts","inc_12_pov_m",470,152
"2516285","Danvers CDP, Massachusetts","inc_12_pov_f",798,314
"2516530","Dedham CDP, Massachusetts","inc_12_pov",1168,366
"2516530","Dedham CDP, Massachusetts","inc_12_pov_m",399,152
"2516530","Dedham CDP, Massachusetts","inc_12_pov_f",769,256
"2516635","Deerfield CDP, Massachusetts","inc_12_pov",62,63
"2516635","Deerfield CDP, Massachusetts","inc_12_pov_m",28,37
"2516635","Deerfield CDP, Massachusetts","inc_12_pov_f",34,38
"2516740","Dennis CDP, Massachusetts","inc_12_pov",154,91
"2516740","Dennis CDP, Massachusetts","inc_12_pov_m",77,55
"2516740","Dennis CDP, Massachusetts","inc_12_pov_f",77,47
"2516810","Dennis Port CDP, Massachusetts","inc_12_pov",439,292
"2516810","Dennis Port CDP, Massachusetts","inc_12_pov_m",229,146
"2516810","Dennis Port CDP, Massachusetts","inc_12_pov_f",210,166
"2516840","Devens CDP, Massachusetts","inc_12_pov",96,61
"2516840","Devens CDP, Massachusetts","inc_12_pov_m",57,57
"2516840","Devens CDP, Massachusetts","inc_12_pov_f",39,41
"2517370","Dover CDP, Massachusetts","inc_12_pov",0,12
"2517370","Dover CDP, Massachusetts","inc_12_pov_m",0,12
"2517370","Dover CDP, Massachusetts","inc_12_pov_f",0,12
"2517860","Duxbury CDP, Massachusetts","inc_12_pov",45,51
"2517860","Duxbury CDP, Massachusetts","inc_12_pov_m",0,12
"2517860","Duxbury CDP, Massachusetts","inc_12_pov_f",45,51
"2518595","East Brookfield CDP, Massachusetts","inc_12_pov",75,65
"2518595","East Brookfield CDP, Massachusetts","inc_12_pov_m",47,47
"2518595","East Brookfield CDP, Massachusetts","inc_12_pov_f",28,21
"2518840","East Dennis CDP, Massachusetts","inc_12_pov",385,242
"2518840","East Dennis CDP, Massachusetts","inc_12_pov_m",198,147
"2518840","East Dennis CDP, Massachusetts","inc_12_pov_f",187,124
"2518875","East Douglas CDP, Massachusetts","inc_12_pov",93,98
"2518875","East Douglas CDP, Massachusetts","inc_12_pov_m",38,57
