"GEOID","NAME","variable","estimate","moe"
"2500135","Abington CDP, Massachusetts","pop_male",8124,384
"2500135","Abington CDP, Massachusetts","pop_female",8312,384
"2500135","Abington CDP, Massachusetts","pop_total",16436,36
"2500530","Acushnet Center CDP, Massachusetts","pop_male",1534,339
"2500530","Acushnet Center CDP, Massachusetts","pop_female",1643,182
"2500530","Acushnet Center CDP, Massachusetts","pop_total",3177,442
"2500590","Adams CDP, Massachusetts","pop_male",2788,255
"2500590","Adams CDP, Massachusetts","pop_female",2547,209
"2500590","Adams CDP, Massachusetts","pop_total",5335,290
"2500840","Agawam Town city, Massachusetts","pop_male",14000,383
"2500840","Agawam Town city, Massachusetts","pop_female",14696,385
"2500840","Agawam Town city, Massachusetts","pop_total",28696,25
"2501260","Amesbury Town city, Massachusetts","pop_male",8499,305
"2501260","Amesbury Town city, Massachusetts","pop_female",8935,306
"2501260","Amesbury Town city, Massachusetts","pop_total",17434,46
"2501360","Amherst Center CDP, Massachusetts","pop_male",9721,642
"2501360","Amherst Center CDP, Massachusetts","pop_female",10688,732
"2501360","Amherst Center CDP, Massachusetts","pop_total",20409,950
"2501430","Andover CDP, Massachusetts","pop_male",4155,333
"2501430","Andover CDP, Massachusetts","pop_female",4759,344
"2501430","Andover CDP, Massachusetts","pop_total",8914,511
"2501640","Arlington CDP, Massachusetts","pop_male",21022,436
"2501640","Arlington CDP, Massachusetts","pop_female",24282,428
"2501640","Arlington CDP, Massachusetts","pop_total",45304,32
"2502515","Athol CDP, Massachusetts","pop_male",3903,334
"2502515","Athol CDP, Massachusetts","pop_female",4714,435
"2502515","Athol CDP, Massachusetts","pop_total",8617,386
"2502690","Attleboro city, Massachusetts","pop_male",21911,618
"2502690","Attleboro city, Massachusetts","pop_female",22878,617
"2502690","Attleboro city, Massachusetts","pop_total",44789,41
"2503040","Ayer CDP, Massachusetts","pop_male",1397,239
"2503040","Ayer CDP, Massachusetts","pop_female",1513,255
"2503040","Ayer CDP, Massachusetts","pop_total",2910,391
"2503355","Baldwinville CDP, Massachusetts","pop_male",903,255
"2503355","Baldwinville CDP, Massachusetts","pop_female",833,243
"2503355","Baldwinville CDP, Massachusetts","pop_total",1736,439
"2503690","Barnstable Town city, Massachusetts","pop_male",21621,486
"2503690","Barnstable Town city, Massachusetts","pop_female",22785,487
"2503690","Barnstable Town city, Massachusetts","pop_total",44406,31
"2503705","Barre CDP, Massachusetts","pop_male",490,199
"2503705","Barre CDP, Massachusetts","pop_female",496,223
"2503705","Barre CDP, Massachusetts","pop_total",986,347
"2504790","Belchertown CDP, Massachusetts","pop_male",1430,242
"2504790","Belchertown CDP, Massachusetts","pop_female",1444,260
"2504790","Belchertown CDP, Massachusetts","pop_total",2874,405
"2504965","Bellingham CDP, Massachusetts","pop_male",2002,335
"2504965","Bellingham CDP, Massachusetts","pop_female",2381,392
"2504965","Bellingham CDP, Massachusetts","pop_total",4383,599
"2505105","Belmont CDP, Massachusetts","pop_male",12109,294
"2505105","Belmont CDP, Massachusetts","pop_female",14004,296
"2505105","Belmont CDP, Massachusetts","pop_total",26113,33
"2505595","Beverly city, Massachusetts","pop_male",19503,515
"2505595","Beverly city, Massachusetts","pop_female",22382,517
"2505595","Beverly city, Massachusetts","pop_total",41885,25
"2506050","Blandford CDP, Massachusetts","pop_male",161,41
"2506050","Blandford CDP, Massachusetts","pop_female",117,39
"2506050","Blandford CDP, Massachusetts","pop_total",278,73
"2506170","Bliss Corner CDP, Massachusetts","pop_male",2240,341
"2506170","Bliss Corner CDP, Massachusetts","pop_female",2910,431
"2506170","Bliss Corner CDP, Massachusetts","pop_total",5150,595
"2507000","Boston city, Massachusetts","pop_male",328503,930
"2507000","Boston city, Massachusetts","pop_female",355876,928
"2507000","Boston city, Massachusetts","pop_total",684379,52
"2507140","Bourne CDP, Massachusetts","pop_male",588,206
