"GEOID","NAME","variable","estimate","moe"
"2500135","Abington CDP, Massachusetts","inc_12_pov",513,169
"2500135","Abington CDP, Massachusetts","inc_12_pov_m",210,100
"2500135","Abington CDP, Massachusetts","inc_12_pov_f",303,130
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov",240,92
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_m",64,40
"2500530","Acushnet Center CDP, Massachusetts","inc_12_pov_f",176,72
"2500590","Adams CDP, Massachusetts","inc_12_pov",593,198
"2500590","Adams CDP, Massachusetts","inc_12_pov_m",233,118
"2500590","Adams CDP, Massachusetts","inc_12_pov_f",360,119
"2500840","Agawam Town city, Massachusetts","inc_12_pov",2586,569
"2500840","Agawam Town city, Massachusetts","inc_12_pov_m",1051,297
"2500840","Agawam Town city, Massachusetts","inc_12_pov_f",1535,384
"2501260","Amesbury Town city, Massachusetts","inc_12_pov",942,251
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_m",510,187
"2501260","Amesbury Town city, Massachusetts","inc_12_pov_f",432,129
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov",2877,598
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_m",1179,450
"2501360","Amherst Center CDP, Massachusetts","inc_12_pov_f",1698,460
"2501430","Andover CDP, Massachusetts","inc_12_pov",761,242
"2501430","Andover CDP, Massachusetts","inc_12_pov_m",454,184
"2501430","Andover CDP, Massachusetts","inc_12_pov_f",307,119
"2501640","Arlington CDP, Massachusetts","inc_12_pov",2252,418
"2501640","Arlington CDP, Massachusetts","inc_12_pov_m",906,253
"2501640","Arlington CDP, Massachusetts","inc_12_pov_f",1346,255
"2502515","Athol CDP, Massachusetts","inc_12_pov",1825,539
"2502515","Athol CDP, Massachusetts","inc_12_pov_m",640,225
"2502515","Athol CDP, Massachusetts","inc_12_pov_f",1185,398
"2502690","Attleboro city, Massachusetts","inc_12_pov",4541,923
"2502690","Attleboro city, Massachusetts","inc_12_pov_m",2035,580
"2502690","Attleboro city, Massachusetts","inc_12_pov_f",2506,471
"2503040","Ayer CDP, Massachusetts","inc_12_pov",348,201
"2503040","Ayer CDP, Massachusetts","inc_12_pov_m",184,144
"2503040","Ayer CDP, Massachusetts","inc_12_pov_f",164,101
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov",107,98
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_m",38,49
"2503355","Baldwinville CDP, Massachusetts","inc_12_pov_f",69,64
"2503690","Barnstable Town city, Massachusetts","inc_12_pov",4735,924
"2503690","Barnstable Town city, Massachusetts","inc_12_pov_m",2281,455
"2503690","Barnstable Town city, Massachusetts","inc_12_pov_f",2454,600
"2503705","Barre CDP, Massachusetts","inc_12_pov",83,78
"2503705","Barre CDP, Massachusetts","inc_12_pov_m",26,30
"2503705","Barre CDP, Massachusetts","inc_12_pov_f",57,71
"2504790","Belchertown CDP, Massachusetts","inc_12_pov",651,346
"2504790","Belchertown CDP, Massachusetts","inc_12_pov_m",307,209
"2504790","Belchertown CDP, Massachusetts","inc_12_pov_f",344,176
"2504965","Bellingham CDP, Massachusetts","inc_12_pov",58,45
"2504965","Bellingham CDP, Massachusetts","inc_12_pov_m",13,19
"2504965","Bellingham CDP, Massachusetts","inc_12_pov_f",45,35
"2505105","Belmont CDP, Massachusetts","inc_12_pov",1259,314
"2505105","Belmont CDP, Massachusetts","inc_12_pov_m",441,125
