"GEOID","NAME","variable","estimate","moe"
"2500135","Abington CDP, Massachusetts","pop_male",7143,303
"2500135","Abington CDP, Massachusetts","pop_female",8969,297
"2500135","Abington CDP, Massachusetts","pop_total",16112,37
"2500530","Acushnet Center CDP, Massachusetts","pop_male",1300,213
"2500530","Acushnet Center CDP, Massachusetts","pop_female",1559,217
"2500530","Acushnet Center CDP, Massachusetts","pop_total",2859,362
"2500590","Adams CDP, Massachusetts","pop_male",2664,240
"2500590","Adams CDP, Massachusetts","pop_female",2811,184
"2500590","Adams CDP, Massachusetts","pop_total",5475,274
"2500840","Agawam Town city, Massachusetts","pop_male",13804,408
"2500840","Agawam Town city, Massachusetts","pop_female",14884,410
"2500840","Agawam Town city, Massachusetts","pop_total",28688,27
"2501260","Amesbury Town city, Massachusetts","pop_male",8397,276
"2501260","Amesbury Town city, Massachusetts","pop_female",8510,276
"2501260","Amesbury Town city, Massachusetts","pop_total",16907,26
"2501360","Amherst Center CDP, Massachusetts","pop_male",9036,689
"2501360","Amherst Center CDP, Massachusetts","pop_female",10507,694
"2501360","Amherst Center CDP, Massachusetts","pop_total",19543,818
"2501430","Andover CDP, Massachusetts","pop_male",3817,308
"2501430","Andover CDP, Massachusetts","pop_female",4966,417
"2501430","Andover CDP, Massachusetts","pop_total",8783,533
"2501640","Arlington CDP, Massachusetts","pop_male",20771,531
"2501640","Arlington CDP, Massachusetts","pop_female",23357,528
"2501640","Arlington CDP, Massachusetts","pop_total",44128,51
"2502515","Athol CDP, Massachusetts","pop_male",4267,283
"2502515","Athol CDP, Massachusetts","pop_female",4160,313
"2502515","Athol CDP, Massachusetts","pop_total",8427,427
"2502690","Attleboro city, Massachusetts","pop_male",21321,641
"2502690","Attleboro city, Massachusetts","pop_female",22632,633
"2502690","Attleboro city, Massachusetts","pop_total",43953,34
"2503040","Ayer CDP, Massachusetts","pop_male",1558,290
"2503040","Ayer CDP, Massachusetts","pop_female",1545,291
"2503040","Ayer CDP, Massachusetts","pop_total",3103,485
"2503355","Baldwinville CDP, Massachusetts","pop_male",1080,262
"2503355","Baldwinville CDP, Massachusetts","pop_female",1094,257
"2503355","Baldwinville CDP, Massachusetts","pop_total",2174,426
"2503690","Barnstable Town city, Massachusetts","pop_male",21623,482
"2503690","Barnstable Town city, Massachusetts","pop_female",22968,481
"2503690","Barnstable Town city, Massachusetts","pop_total",44591,31
"2503705","Barre CDP, Massachusetts","pop_male",629,273
"2503705","Barre CDP, Massachusetts","pop_female",446,158
"2503705","Barre CDP, Massachusetts","pop_total",1075,339
"2504790","Belchertown CDP, Massachusetts","pop_male",1609,318
"2504790","Belchertown CDP, Massachusetts","pop_female",1680,336
"2504790","Belchertown CDP, Massachusetts","pop_total",3289,530
"2504965","Bellingham CDP, Massachusetts","pop_male",2446,289
"2504965","Bellingham CDP, Massachusetts","pop_female",2950,350
"2504965","Bellingham CDP, Massachusetts","pop_total",5396,514
"2505105","Belmont CDP, Massachusetts","pop_male",11886,361
"2505105","Belmont CDP, Massachusetts","pop_female",13451,356
"2505105","Belmont CDP, Massachusetts","pop_total",25337,27
"2505595","Beverly city, Massachusetts","pop_male",19064,448
"2505595","Beverly city, Massachusetts","pop_female",21606,446
"2505595","Beverly city, Massachusetts","pop_total",40670,36
"2506050","Blandford CDP, Massachusetts","pop_male",189,43
"2506050","Blandford CDP, Massachusetts","pop_female",193,39
"2506050","Blandford CDP, Massachusetts","pop_total",382,74
"2506170","Bliss Corner CDP, Massachusetts","pop_male",2609,251
"2506170","Bliss Corner CDP, Massachusetts","pop_female",3148,306
"2506170","Bliss Corner CDP, Massachusetts","pop_total",5757,436
"2507000","Boston city, Massachusetts","pop_male",311843,853
"2507000","Boston city, Massachusetts","pop_female",338438,861
"2507000","Boston city, Massachusetts","pop_total",650281,47
"2507140","Bourne CDP, Massachusetts","pop_male",482,140
"2507140","Bourne CDP, Massachusetts","pop_female",720,216
"2507140","Bourne CDP, Massachusetts","pop_total",1202,311
"2507385","Boxford CDP, Massachusetts","pop_male",1212,261
"2507385","Boxford CDP, Massachusetts","pop_female",1154,234
"2507385","Boxford CDP, Massachusetts","pop_total",2366,441
"2507740","Braintree Town city, Massachusetts","pop_male",17671,472
"2507740","Braintree Town city, Massachusetts","pop_female",19234,474
"2507740","Braintree Town city, Massachusetts","pop_total",36905,31
"2507945","Brewster CDP, Massachusetts","pop_male",1048,249
"2507945","Brewster CDP, Massachusetts","pop_female",1232,205
"2507945","Brewster CDP, Massachusetts","pop_total",2280,389
"2508050","Bridgewater CDP, Massachusetts","pop_male",3867,517
"2508050","Bridgewater CDP, Massachusetts","pop_female",4649,607
"2508050","Bridgewater CDP, Massachusetts","pop_total",8516,781
"2509000","Brockton city, Massachusetts","pop_male",45496,639
"2509000","Brockton city, Massachusetts","pop_female",49036,640
"2509000","Brockton city, Massachusetts","pop_total",94532,46
"2509070","Brookfield CDP, Massachusetts","pop_male",479,111
"2509070","Brookfield CDP, Massachusetts","pop_female",307,89
"2509070","Brookfield CDP, Massachusetts","pop_total",786,162
"2509210","Brookline CDP, Massachusetts","pop_male",25686,668
"2509210","Brookline CDP, Massachusetts","pop_female",33446,664
"2509210","Brookline CDP, Massachusetts","pop_total",59132,42
"2509875","Burlington CDP, Massachusetts","pop_male",12576,459
"2509875","Burlington CDP, Massachusetts","pop_female",12891,459
"2509875","Burlington CDP, Massachusetts","pop_total",25467,34
"2510015","Buzzards Bay CDP, Massachusetts","pop_male",1732,342
"2510015","Buzzards Bay CDP, Massachusetts","pop_female",1325,197
"2510015","Buzzards Bay CDP, Massachusetts","pop_total",3057,472
"2511000","Cambridge city, Massachusetts","pop_male",52208,978
"2511000","Cambridge city, Massachusetts","pop_female",55708,980
"2511000","Cambridge city, Massachusetts","pop_total",107916,31
"2512960","Chatham CDP, Massachusetts","pop_male",771,213
"2512960","Chatham CDP, Massachusetts","pop_female",745,156
"2512960","Chatham CDP, Massachusetts","pop_total",1516,298
"2513205","Chelsea city, Massachusetts","pop_male",18987,540
"2513205","Chelsea city, Massachusetts","pop_female",18594,542
"2513205","Chelsea city, Massachusetts","pop_total",37581,51
"2513310","Cheshire CDP, Massachusetts","pop_male",336,149
"2513310","Cheshire CDP, Massachusetts","pop_female",257,93
"2513310","Cheshire CDP, Massachusetts","pop_total",593,204
"2513450","Chester CDP, Massachusetts","pop_male",394,68
"2513450","Chester CDP, Massachusetts","pop_female",360,85
"2513450","Chester CDP, Massachusetts","pop_total",754,135
"2513660","Chicopee city, Massachusetts","pop_male",27690,788
"2513660","Chicopee city, Massachusetts","pop_female",28496,785
"2513660","Chicopee city, Massachusetts","pop_total",56186,31
"2514430","Clinton CDP, Massachusetts","pop_male",3650,326
"2514430","Clinton CDP, Massachusetts","pop_female",3736,376
"2514430","Clinton CDP, Massachusetts","pop_total",7386,537
"2514570","Cochituate CDP, Massachusetts","pop_male",3433,216
"2514570","Cochituate CDP, Massachusetts","pop_female",3460,215
"2514570","Cochituate CDP, Massachusetts","pop_total",6893,312
"2515340","Cordaville CDP, Massachusetts","pop_male",1304,180
"2515340","Cordaville CDP, Massachusetts","pop_female",1290,173
"2515340","Cordaville CDP, Massachusetts","pop_total",2594,288
"2516285","Danvers CDP, Massachusetts","pop_male",13394,408
"2516285","Danvers CDP, Massachusetts","pop_female",14006,401
"2516285","Danvers CDP, Massachusetts","pop_total",27400,48
"2516530","Dedham CDP, Massachusetts","pop_male",12263,374
"2516530","Dedham CDP, Massachusetts","pop_female",12961,372
"2516530","Dedham CDP, Massachusetts","pop_total",25224,28
"2516635","Deerfield CDP, Massachusetts","pop_male",394,167
"2516635","Deerfield CDP, Massachusetts","pop_female",506,219
