Week,Class,Date,Day,Topic,Readings,Due,Resources
1,FALSE,1/23/23,Mon,,TBD,,TBD
1,FALSE,1/25/23,Wed,,,,
1,1,1/27/23,Fri,Roadmap,,,
2,2,1/30/23,Mon,Intro Git,,,
2,3,2/1/23,Wed,Project Repo Design,,,
2,4,2/3/23,Fri,Lab 1,,,
3,5,2/6/23,Mon,Functions,,,
3,6,2/8/23,Wed,Debugging & Conditions,,Lab 1,
3,7,2/10/23,Fri,Lab 2,,,
4,8,2/13/23,Mon,Web Scraping,,,
4,9,2/15/23,Wed,RegEx,,Lab 2,
4,10,2/17/23,Fri,Lab 3,,,
5,11,2/20/23,Mon,Iteration,,,
5,12,2/22/23,Wed,Lists,,Lab 3,
5,13,2/24/23,Fri,Lab 4,,,
6,14,2/27/23,Mon,Apply/Parallel,,,
6,15,3/1/23,Wed,PDF Data Extraction,,Lab 4,
6,16,3/3/23,Fri,Lab 5,,,
7,17,3/6/23,Mon,Bash,,,
7,18,3/8/23,Wed,Remote Servers,,Lab 5,
7,19,3/10/23,Fri,RECAP/MSA,,,
8,FALSE,3/13/23,Mon,,,,
8,FALSE,3/15/23,Wed,,,,
8,FALSE,3/17/23,Fri,,,,
9,20,3/20/23,Mon,Package Creation,,,
9,21,3/22/23,Wed,Project Management,,,
9,22,3/24/23,Fri,Finals Work Time 1,,,
10,23,3/27/23,Mon,Adv Git,,,
10,24,3/29/23,Wed,Package Documentation,,,
10,25,3/31/23,Fri,Lab 6,,,
11,26,4/3/23,Mon,Adv Functions,,,
11,27,4/5/23,Wed,S3,,Lab 6,
11,28,4/7/23,Fri,Lab 7,,,
12,29,4/10/23,Mon,Testing,,,
12,30,4/12/23,Wed,Benchmarking,,Lab 7,
12,31,4/14/23,Fri,Lab 8,,,
13,32,4/17/23,Mon,Package Vignettes/Reprex,,,
13,33,4/19/23,Wed,Package Website,,Lab 8,
13,34,4/21/23,Fri,Lab 9,,,
14,35,4/24/23,Mon,Student’s Choice,,,
14,36,4/26/23,Wed,Student’s Choice,,Lab 9,
14,37,4/28/23,Fri,Finals Work Time 2,,,
15,38,4/1/23,Mon,Finals Work Time 3,,,
15,39,4/3/23,Wed,Finals Showcase,,,
15,FALSE,4/5/23,Fri,,,,
